Bldg Type,Bldg Subtype,Tenant,Tenant Industry Cluster,Tenant Industry,Tenant Sub Industry,Lease Industry Cluster,Lease Industry,Lease Sub Industry,Local Industry,Address,City,State,Zip,Bldg Name,Business Park,Market,Submarket,Micromarket,Prior Location,Bldg Class,Bldg Sub-class,Lease Size,Suite,Floor(s),View Space,Space Use Type,Space Use SubType,Office s.f.,Retail s.f.,Lab s.f.,Docks,Docks at grade,Docks inside,Dock Configuration Type,Drive Ins,Speed Bay,Clear Height Min,Clear Height Max,Term (mos),Sign Date,Commencement Date,Move-in Date,Expiration Date,Lease Type,Asking Rent,First Year Rent p.s.f.,Rent Type,Effective Rent p.s.f.,Average Rent p.s.f.,Shell Rate p.s.f.,Office Rate p.s.f.,Escalation,Escalation Frequency,Escalation Type,Escalation Amount,Free Rent (mos),Free Rent ($),Free Rent Type,Rent Comments,TIs p.s.f.,Improvement Comments,Submarket Cluster,Custom Cluster,Bldg Size,Bldg Status,Multi-floor?,Entire floor?,Transaction Type,Footprint,Previous Lease s.f.,Bldg Leasing Company,Agency Broker Company,Agency Broker Name,Tenant Broker Company,Tenant Broker Name,Landlord at Time of Lease,Current Landlord,Comments,Private Comments,Source,Full Lease?,Followup Required?,Confidential?,Corp. HQ?,Total Lease Value,OpEx and Taxes p.s.f.,Taxes,Insurance,Construction Materials,Industrial AC,Sprinkler Type,Rail Type,Crane Served?,Crane Count,Crane Capacity,Crane Hook Height,Crane Comments,Broke Ground Date,Build Date,Renovated Date,Latitude,Longitude,In Leasing Statistics?,In Statistics?,In Skyline?,Most Expensive Street?,Improvement Allowance Comments,Prior Address,Prior Building Name,Prior Submarket,CoStar Property ID,CRM Property ID,MDM Property ID,MarketSphere Property ID,MarketSphere Lease ID,Created On,Created By,Modified On,Modified By
Office,Mixed-Use,Regus,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,,Real estate,1 Market Plz,San Francisco,California,94105,Spear Street Tower,One Market Plaza,San Francisco,South Financial District,,,Trophy,No Value,43094,,"35,36",,,,,,,,,,,,,,,78,4/23/2010,3/1/2010,40238,8/31/2016,Direct,,,Full Service Gross,53.44,53.44,,,Annual $1.00,Annual,Amount,1,,,,,,,CBD,,829435,Existing,No,Yes,Renewal,,,JLL,,,JLL,,,"Paramount Group, Blackstone Group","7 mos free rent, $55.75 start w/ $1 bumps, one 5-year option to renew, termination right in 3rd year",,JLL,No,No,No,No,,,,,,,,,,,,,,,27760,,37.793163,-122.393798,No,Yes,Yes,No,,,,,320622,160C6D82-F0F9-E011-A40E-0026B952B32D,14241257,44342,51784,42381.94861,System Setup,,
Office,Office,HQ Global Workplaces,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,CoWorking/Flexible Space,Real estate,71 Stevenson St,San Francisco,California,94105,Stevenson Place,,San Francisco,South Financial District,Transbay District,,A,No Value,18000,,4,,,,,,,,,,,,,,,120,7/1/2007,7/1/2007,39264,6/30/2017,Direct,,,Full Service Gross,37.83,37.83,,,,,,,,,,,,,CBD,,327584,Existing,No,Yes,,,,TRI Commercial,,,,,,"HSBC Bank, Forward One",2 five year options to renew. New deal.,,,No,No,No,No,,,,,,,,,,,,,,31048,31413,,37.789371,-122.399658,No,Yes,No,No,,,,,320908,6C045797-4AFB-E011-A40E-0026B952B32D,6612528,85641,54772,42381.94861,System Setup,43362.88333,Scott Homa
Office,Office,Regus,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,,Real estate,71 Stevenson St,San Francisco,California,94105,Stevenson Place,,San Francisco,South Financial District,Transbay District,,A,No Value,18196,,4,,,,,,,,,,,,,,,120,6/15/2007,8/1/2007,39295,7/31/2017,Direct,,,Full Service Gross,38,38,,,,,,,,,,,,,CBD,,327584,Existing,No,Yes,,,,TRI Commercial,,,,,,"HSBC Bank, Forward One",,,The CAC Group,No,No,No,No,,,,,,,,,,,,,,31048,31413,,37.789371,-122.399658,No,Yes,No,No,,,,,320908,6C045797-4AFB-E011-A40E-0026B952B32D,6612528,85641,52526,42381.94861,System Setup,,
Office,Office,ServCorp,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,CoWorking/Flexible Space,Real estate,101 California St,San Francisco,California,94111,101 California,,San Francisco,North Financial District,,,Trophy,No Value,4400,,27,,,,,,,,,,,,,,,84,7/1/2010,1/1/2011,40544,12/31/2017,Direct,,58.3,Full Service Gross,58.3,58.3,,,Annual 3.00%,Annual,Percent,0.03,6,,,,,,CBD,,1203065,Existing,No,No,New to Market,,,Hines,Hines,,NA,,,GIC Real Estate International,"6 months free rent, direct deal with Hines. High end executive suite operator. esc estimated",,Cornish,No,No,No,No,,,,,,,,,,,,,,,29952,37257,37.792831,-122.397933,No,Yes,Yes,Yes,,,,,320422,AF0E5098-F9F9-E011-A40E-0026B952B32D,6660627,44942,49977,42381.94861,System Setup,43067.66667,"Justine ""VERMONSTER"" Morrison"
Office,Office,ServCorp,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,CoWorking/Flexible Space,Real estate,555 California St,San Francisco,California,94104,555 California,Bank of America Center,San Francisco,North Financial District,,,Trophy,No Value,5000,,49,,,,,,,,,,,,,,,84,7/15/2010,1/1/2011,40544,12/31/2017,Direct,,65,Full Service Gross,66.45,66.45,,,Annual $1.00,Annual,Amount,1,2,,,,,,CBD,,1497000,Existing,No,Yes,New to Market,,,CBRE,CBRE,,,,,"Vornado Realty Trust, The Trump Organization","2 months free rent, $65 start, $1 annual increases",,Colliers,No,No,No,No,,,,,,,,,,,,,,,25204,25934,37.792109,-122.4037,No,Yes,Yes,Yes,,,,,320443,4FC2BFE6-36FB-E011-A40E-0026B952B32D,6604153,80960,54148,42381.94861,System Setup,43067.68889,"Justine ""VERMONSTER"" Morrison"
Office,Office,Regus,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,,Real estate,425 Market St,San Francisco,California,94105,425 Market,,San Francisco,South Financial District,,,A,No Value,27506,,22,,,,,,,,,,,,,,,84,4/29/2011,7/1/2011,40725,6/30/2018,Direct,,37,Full Service Gross,38.68,38.68,,,Annual $1.00,Annual,Amount,1,3,,,,,,CBD,,996760,Existing,No,Yes,Renewal,,,Cushman & Wakefield,Cushman & Wakefield,,,,,Norges Bank Investment Management,"3 months free rent, $37.00 start with $1 annual increases",,Cushman,No,No,No,No,,,,,,,,,,,,,,,26665,32143,37.791239,-122.39816,No,Yes,Yes,No,,,,,320629,6C014580-C7FA-E011-B691-00505692362F,8200462,75884,51786,42381.94861,System Setup,43069.68125,"Justine ""VERMONSTER"" Morrison"
Office,Office,Premier Office Centers,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,CoWorking/Flexible Space,Real estate,1 Sansome St,San Francisco,California,94104,One Sansome Street,,San Francisco,North Financial District,,,Trophy,No Value,17442,,35,,,,,,,,,,,,,,,93,4/1/2012,7/1/2012,41091,3/31/2020,Direct,,51,Full Service Gross,53.06,53.06,,,Annual 3.00%,Annual,Percent,0.03,6,,,,,,CBD,,642133,Existing,No,Yes,New to Market,,,CBRE,CBRE,,US Realty,,,PGIM Real Estate,6 months of free rent. esc estimated,,CBRE,No,No,No,No,,,,,,,,,,,,,,,30682,,37.790487,-122.400964,No,Yes,Yes,No,,,,,320838,F69A8C34-F1F9-E011-A40E-0026B952B32D,6674059,44365,51722,42381.94861,System Setup,43364.64583,Scott Homa
Office,Office,RocketSpace,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,,Real estate,180 Sansome St,San Francisco,California,94104,Hong Kong Bank Building,,San Francisco,North Financial District,,,B,No Value,48938,,"6,9,15",,,,,,,,,,,,,,,85,3/27/2013,6/1/2013,41426,6/30/2020,Direct,,37,Full Service Gross,37.03,0,,,Annual $1.00,Annual,Amount,1,,,,,15,,CBD,,108327,Existing,No,Yes,New to Market,,,Colliers International,Colliers International,,JLL,,,Brothers International,"$37 FS start with $1 annual increases for initial lease. $41 FS start with $1 annual increases for must take. Initial floors include 6,9,15 must take floors are 3,4,7,8. Initial TI's $15 / must take $60 TI. 5-year option to renew",,JLL,No,No,No,No,,,,,,,,,,,,,,,24108,,37.791935,-122.400589,No,Yes,No,No,,,,,320843,1A482D74-8FFA-E011-B691-00505692362F,8125662,57496,54327,42381.94861,System Setup,43082.78333,"Justine ""VERMONSTER"" Morrison"
Office,Mixed-Use,Carr Workplaces,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,CoWorking/Flexible Space,Real estate,4 Embarcadero Ctr,San Francisco,California,94111,Four Embarcadero Center,Embarcadero Center,San Francisco,North Financial District,,,Trophy,No Value,21733,,14,,,,,,,,,,,,,,,120,8/3/2010,11/1/2010,40483,10/31/2020,Direct,,52,Full Service Gross,52,52,,,Annual 3.00%,Annual,Percent,0.03,,,,,,,CBD,,858583,Existing,No,No,New to Market,,,Boston Properties,Boston Properties,,,,,Boston Properties,"Executive suite operator, esc estimated",,Colliers,No,No,No,No,,,,,,,,,,,,,,,28856,,37.795179,-122.396111,No,Yes,Yes,No,,,,,320472,73088194-C1FA-E011-B691-00505692362F,6681662,74270,55224,42381.94861,System Setup,43067.92778,"Justine ""VERMONSTER"" Morrison"
Office,Office,RocketSpace,Finance,Real Estate,CoWorking/Flexible Space,Finance,Real Estate,,Real estate,180 Sansome St,San Francisco,California,94104,Hong Kong Bank Building,,San Francisco,North Financial District,,,B,No Value,6095,,18,,,,,,,,,,,,,,,79,2/24/2014,4/15/2014,41744,10/31/2020,Direct,,47,Full Service Gross,50.27,50.27,,,Annual $1.00,Annual,Amount,1,,,,,3,,CBD,,108327,Existing,No,Yes,Expansion,,,Colliers International,Colliers International,,JLL,,,Brothers International,"$47 FS start with $1 annual increases, paint TI's",,JLL,No,No,No,No,,,,,,,,,,,,,,,24108,,37.791935,-122.400589,No,Yes,No,No,,,,,320843,1A482D74-8FFA-E011-B691-00505692362F,8125662,57496,51819,42381.94861,System Setup,43067.66944,"Justine ""VERMONSTER"" Morrison"
